worker_id,assignment_id,uniqueid,pid,datetime,trial_id,jitter,exp_duration,loc_x,loc_y,n_shown,color,n_guess,rt
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261086,494805,3,0,500,-25.0,43.3012701892,R,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261086,494805,3,0,500,-50.0,86.6025403784,R,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261086,494805,3,0,500,-75.0,129.903810568,B,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261087,494805,3,0,500,-50,6.12323399574e-15,B,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261087,494805,3,0,500,-100,1.22464679915e-14,B,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261087,494805,3,0,500,-150,1.83697019872e-14,B,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261087,494805,3,0,500,-25.0,-43.3012701892,R,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261087,494805,3,0,500,-50.0,-86.6025403784,R,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261087,494805,3,0,500,-75.0,-129.903810568,B,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261087,494805,3,0,500,25.0,-43.3012701892,B,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261087,494805,3,0,500,50.0,-86.6025403784,B,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261087,494805,3,0,500,75.0,-129.903810568,B,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263304,494805,4,0,500,50,0,B,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263305,494805,4,0,500,100,0,B,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263305,494805,4,0,500,150,0,B,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263305,494805,4,0,500,25.0,43.3012701892,R,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263305,494805,4,0,500,50.0,86.6025403784,R,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263305,494805,4,0,500,75.0,129.903810568,R,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263305,494805,4,0,500,-25.0,43.3012701892,R,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263305,494805,4,0,500,-50.0,86.6025403784,B,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263305,494805,4,0,500,-75.0,129.903810568,B,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263305,494805,4,0,500,-50,6.12323399574e-15,B,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263305,494805,4,0,500,-100,1.22464679915e-14,R,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263305,494805,4,0,500,-150,1.83697019872e-14,B,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263305,494805,4,0,500,-25.0,-43.3012701892,R,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263306,494805,4,0,500,-50.0,-86.6025403784,R,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263306,494805,4,0,500,-75.0,-129.903810568,B,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263306,494805,4,0,500,25.0,-43.3012701892,B,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263306,494805,4,0,500,50.0,-86.6025403784,B,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717263306,494805,4,0,500,75.0,-129.903810568,B,7,8,962
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265229,494805,5,0,500,50,0,B,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265229,494805,5,0,500,100,0,B,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265229,494805,5,0,500,150,0,R,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265230,494805,5,0,500,25.0,43.3012701892,R,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265230,494805,5,0,500,50.0,86.6025403784,B,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265230,494805,5,0,500,75.0,129.903810568,B,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265230,494805,5,0,500,-25.0,43.3012701892,B,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265230,494805,5,0,500,-50.0,86.6025403784,B,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265230,494805,5,0,500,-75.0,129.903810568,B,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265230,494805,5,0,500,-50,6.12323399574e-15,B,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265230,494805,5,0,500,-100,1.22464679915e-14,R,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265230,494805,5,0,500,-150,1.83697019872e-14,B,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265230,494805,5,0,500,-25.0,-43.3012701892,B,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265230,494805,5,0,500,-50.0,-86.6025403784,B,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265230,494805,5,0,500,-75.0,-129.903810568,B,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265230,494805,5,0,500,25.0,-43.3012701892,R,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265230,494805,5,0,500,50.0,-86.6025403784,B,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717265230,494805,5,0,500,75.0,-129.903810568,R,5,5,669
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,50,0,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,100,0,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,150,0,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,25.0,43.3012701892,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,50.0,86.6025403784,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,75.0,129.903810568,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,-25.0,43.3012701892,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,-50.0,86.6025403784,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,-75.0,129.903810568,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,-50,6.12323399574e-15,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,-100,1.22464679915e-14,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,-150,1.83697019872e-14,R,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,-25.0,-43.3012701892,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,-50.0,-86.6025403784,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,-75.0,-129.903810568,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,25.0,-43.3012701892,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,50.0,-86.6025403784,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717950194,754831,0,0,500,75.0,-129.903810568,B,1,1,1172
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952293,754831,1,0,500,50,0,B,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952293,754831,1,0,500,100,0,R,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952293,754831,1,0,500,150,0,R,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952294,754831,1,0,500,25.0,43.3012701892,B,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952294,754831,1,0,500,50.0,86.6025403784,B,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952294,754831,1,0,500,75.0,129.903810568,B,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952294,754831,1,0,500,-25.0,43.3012701892,R,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952294,754831,1,0,500,-50.0,86.6025403784,R,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952294,754831,1,0,500,-75.0,129.903810568,B,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952294,754831,1,0,500,-50,6.12323399574e-15,B,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952294,754831,1,0,500,-100,1.22464679915e-14,B,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952294,754831,1,0,500,-150,1.83697019872e-14,B,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952294,754831,1,0,500,-25.0,-43.3012701892,B,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952294,754831,1,0,500,-50.0,-86.6025403784,R,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952294,754831,1,0,500,-75.0,-129.903810568,B,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952294,754831,1,0,500,25.0,-43.3012701892,B,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952294,754831,1,0,500,50.0,-86.6025403784,B,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717952294,754831,1,0,500,75.0,-129.903810568,B,5,5,835
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954291,754831,2,0,500,50,0,B,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954291,754831,2,0,500,100,0,B,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954291,754831,2,0,500,150,0,B,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954291,754831,2,0,500,25.0,43.3012701892,B,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954291,754831,2,0,500,50.0,86.6025403784,B,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954291,754831,2,0,500,75.0,129.903810568,R,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954291,754831,2,0,500,-25.0,43.3012701892,B,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954291,754831,2,0,500,-50.0,86.6025403784,B,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954291,754831,2,0,500,-75.0,129.903810568,R,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954291,754831,2,0,500,-50,6.12323399574e-15,B,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954291,754831,2,0,500,-100,1.22464679915e-14,B,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954291,754831,2,0,500,-150,1.83697019872e-14,B,5,4,735
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717954291,754831,2,0,500,-25.0,-43.3012701892,B,5,4,735
